run_id,date,stage,phase,cell_id,config,system,system_version,system_commit,index_type,N,dim,k,recall_target,dataset,query_set_id,seed,clients,warm_state,build_s,qps,p50_us,p95_us,p99_us,p999_us,avg_latency_us,recall_at_k,peak_vram_mb,peak_rss_mb,cpu_core_s,gpu_s,energy_j,disk_bytes_written,wal_bytes,index_bytes_vram,index_bytes_host,index_bytes_disk,instance_type,price_usd_hr,usd_per_1m_queries,reps,agg_method,dispersion,gt_method,cost_model_version,runtime_routing_version,selectivity,correlation,filter_mode,stream_op,ops_done,delta_rows,params_json,notes
gha-27390874159-1,2026-06-12,A,build,N1k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,0.406,,,,,,,,0.0,52.5390625,0.0,0.0,16.819594560579716,,4460056,,8200192,8200192,,,,3,median-of-3,,exact-fbin,v0,v0,,,,,,,"{""build"":""m16_ef64""}",
gha-27390874159-1,2026-06-12,A,query,N1k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,609.7,1629.9,1781.0,1870.7,2027.8,,0.9701,0.0,98.71484375,27.62,0.0,2718.3387031395264,,,,,,,,,3,median-of-3,"{""reps"":3,""p50_us"":[1618.9,1644.4],""p99_us"":[1852.9,1892.4],""qps"":[603.6,613.6]}",exact-fbin,v0,v0,,,,,,,"{""knob"":20,""iso_recall_met"":true,""n_queries"":10000}",
gha-27390874159-1,2026-06-12,A,build,N1k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,0.135,,,,,,,,8.0,697.890625,0.27,0.007174912910268175,10.05142970041954,,2448,,0,0,,,,3,median-of-3,,exact-fbin,v0,v0,,,,,,,"{""build"":""cagra""}",
gha-27390874159-1,2026-06-12,A,query,N1k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,397.7,2501.9,2662.9,2745.0,2926.1,,1.0,0.0,734.8828125,60.53,19.672971546187046,4276.564691957023,,,,,,,,,3,median-of-3,"{""reps"":3,""p50_us"":[2481.4,2548.9],""p99_us"":[2742.5,2778.2],""qps"":[393.0,400.2]}",exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""n_queries"":10000}",
gha-27390874159-1,2026-06-12,A,build,N10k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,6.268,,,,,,,,0.0,79.37109375,0.05,0.0,339.7158292505701,,44488832,,81895424,81895424,,,,3,median-of-3,,exact-fbin,v0,v0,,,,,,,"{""build"":""m16_ef64""}",
gha-27390874159-1,2026-06-12,A,query,N10k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,468.9,2125.2,2476.3,2623.7,2779.7,,0.9629,0.0,125.53125,28.04,0.0,3527.8747288030368,,,,,,,,,3,median-of-3,"{""reps"":3,""p50_us"":[2119.7,2128.2],""p99_us"":[2599.7,2628.7],""qps"":[468.7,470.7]}",exact-fbin,v0,v0,,,,,,,"{""knob"":40,""iso_recall_met"":true,""n_queries"":10000}",
gha-27390874159-1,2026-06-12,A,build,N10k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,0.707,,,,,,,,64.0,770.9140625,1.69,0.14253449712326982,41.336421570493485,,2384,,0,0,,,,3,median-of-3,,exact-fbin,v0,v0,,,,,,,"{""build"":""cagra""}",
gha-27390874159-1,2026-06-12,A,query,N10k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,339.0,2821.1,3154.9,7296.0,8953.5,,0.9982,2.0,761.578125,72.47,24.242475851167857,5017.121818163344,,,,,,,,,3,median-of-3,"{""reps"":3,""p50_us"":[2809.8,2846.1],""p99_us"":[6833.1,7457.4],""qps"":[336.9,340.0]}",exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""n_queries"":10000}",
gha-27390874159-1,2026-06-12,A,build,N18k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,18000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,12.985,,,,,,,,0.0,102.87109375,0.1,0.0,698.3123639893544,,80850664,,147415040,147415040,,,,3,median-of-3,,exact-fbin,v0,v0,,,,,,,"{""build"":""m16_ef64""}",
gha-27390874159-1,2026-06-12,A,query,N18k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,18000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,425.3,2346.0,2877.4,3156.8,3520.0,,0.9572,0.0,149.08984375,28.52,0.0,3888.9399993202583,,,,,,,,,3,median-of-3,"{""reps"":3,""p50_us"":[2342.7,2357.7],""p99_us"":[3146.8,3174.8],""qps"":[423.1,425.8]}",exact-fbin,v0,v0,,,,,,,"{""knob"":40,""iso_recall_met"":true,""n_queries"":10000}",
