config,phase,N,build_s,qps,p50_us,p95_us,p99_us,recall_at_k
forced-hnsw,build,1000,0.392,,,,,
forced-hnsw,query,1000,,601.9,1647.5,1814.4,1907.4,0.973
forced-hnsw,build,10000,6.29,,,,,
forced-hnsw,query,10000,,477.1,2093.8,2432.8,2579.8,0.9657
forced-hnsw,build,18000,13.029,,,,,
forced-hnsw,query,18000,,418.8,2367.7,2956.9,3272.0,0.9588
forced-hnsw,build,32000,25.886,,,,,
forced-hnsw,query,32000,,261.5,3693.6,5890.1,6772.6,0.9798
forced-hnsw,build,100000,97.705,,,,,
forced-hnsw,query,100000,,196.1,4859.1,8357.3,9331.9,0.9712
forced-hnsw,build,1000000,285.355,,,,,
forced-hnsw,query,1000000,,110.4,8887.6,14639.4,15778.7,0.9588
forced-cuvs,build,1000,0.139,,,,,
forced-cuvs,query,1000,,401.6,2473.1,2654.0,2746.9,1.0
forced-cuvs,build,10000,0.701,,,,,
forced-cuvs,query,10000,,338.2,2831.8,3155.7,7016.2,0.9982
forced-cuvs,build,18000,1.306,,,,,
forced-cuvs,query,18000,,335.3,2865.3,3201.3,6863.0,0.9965
forced-cuvs,build,32000,2.408,,,,,
forced-cuvs,query,32000,,342.3,2804.1,3139.0,6237.0,0.9962
forced-cuvs,build,100000,7.646,,,,,
forced-cuvs,query,100000,,335.7,2850.8,3202.5,7251.5,0.9909
forced-cuvs,build,1000000,70.838,,,,,
forced-cuvs,query,1000000,,323.1,2968.2,3296.8,8179.8,0.976
