N,config,clients,qps,p50_us,p95_us,p99_us,recall_at_k,source,search_mode,bf_batch_wait_us
1000,forced-cuvs,1,791.8,1252.0,1353.0,1417.0,,conc-probe,,
1000,forced-cuvs,4,1355.9,2928.0,3072.0,3180.0,,conc-probe,,
1000,forced-cuvs,8,1351.1,5908.0,6117.0,10052.8,,conc-probe,,
1000,forced-cuvs,16,1342.6,11892.0,12295.0,22514.5,,conc-probe,,
1000,forced-cuvs,32,1336.2,23899.0,45575.8,46794.3,,conc-probe,,
1000,forced-cuvs,64,1331.9,47861.0,93840.5,95305.5,,conc-probe,,
1000,forced-hnsw,1,1923.9,515.0,599.0,646.0,,conc-probe,,
1000,forced-hnsw,4,7276.7,543.0,634.0,717.0,,conc-probe,,
1000,forced-hnsw,8,11828.3,680.0,795.0,847.0,,conc-probe,,
1000,forced-hnsw,16,16652.1,731.0,1564.0,2168.0,,conc-probe,,
1000,forced-hnsw,32,15982.6,1990.0,3598.0,5140.7,,conc-probe,,
1000,forced-hnsw,64,15246.0,3455.0,8978.0,25933.0,,conc-probe,,
10000,forced-cuvs,1,608.6,1555.0,1736.5,4036.5,,conc-probe,,
10000,forced-cuvs,1,596.4,1599.0,1800.7,4132.8,,conc-bf,cagra,0
10000,forced-cuvs,4,929.6,4111.0,4610.1,9410.7,,conc-probe,,
10000,forced-cuvs,4,921.6,4148.0,4638.0,9535.0,,conc-bf,cagra,0
10000,forced-cuvs,8,908.3,8455.0,13291.9,14251.8,,conc-probe,,
10000,forced-cuvs,8,917.2,8369.0,13153.6,14274.2,,conc-bf,cagra,0
10000,forced-cuvs,16,905.8,16958.0,22570.0,23672.3,,conc-probe,,
10000,forced-cuvs,16,913.2,16855.0,22298.1,23236.8,,conc-bf,cagra,0
10000,forced-cuvs,32,906.7,33941.0,40104.0,41330.3,,conc-probe,,
10000,forced-cuvs,32,908.2,33876.0,40045.0,41174.9,,conc-bf,cagra,0
10000,forced-cuvs,64,902.6,71522.0,75126.3,76664.0,,conc-probe,,
10000,forced-cuvs,64,902.3,71803.0,75011.8,75853.6,,conc-bf,cagra,0
10000,forced-cuvs-bf,1,861.8,1139.0,1237.0,1296.0,,conc-bf,brute_force,0
10000,forced-cuvs-bf,4,1892.5,2094.0,2339.0,3250.1,,conc-bf,brute_force,0
10000,forced-cuvs-bf,8,1869.6,4263.0,4491.0,7210.3,,conc-bf,brute_force,0
10000,forced-cuvs-bf,16,1859.4,8584.0,8907.0,9104.0,,conc-bf,brute_force,0
10000,forced-cuvs-bf,32,1829.7,17449.0,17934.0,18238.0,,conc-bf,brute_force,0
10000,forced-cuvs-bf,64,1830.6,34843.0,35649.0,36115.6,,conc-bf,brute_force,0
10000,forced-cuvs-bf-batch,1,433.6,2293.0,2414.1,2493.3,,conc-bf,brute_force,1000
10000,forced-cuvs-bf-batch,4,1664.1,2375.0,2500.0,2572.0,,conc-bf,brute_force,1000
10000,forced-cuvs-bf-batch,8,3120.4,2555.0,2840.0,3312.0,,conc-bf,brute_force,1000
10000,forced-cuvs-bf-batch,16,4552.3,3662.0,4640.0,5223.0,,conc-bf,brute_force,1000
10000,forced-cuvs-bf-batch,32,5146.5,6115.0,8975.0,10261.3,,conc-bf,brute_force,1000
10000,forced-cuvs-bf-batch,64,5083.0,11441.0,15340.0,17493.0,,conc-bf,brute_force,1000
10000,forced-hnsw,1,891.5,1119.0,1411.0,1525.0,,conc-probe,,
10000,forced-hnsw,4,3632.8,1096.0,1371.0,1507.0,,conc-probe,,
10000,forced-hnsw,8,6222.1,1276.0,1656.0,1810.0,,conc-probe,,
10000,forced-hnsw,16,8437.5,1488.0,3835.0,4747.0,,conc-probe,,
10000,forced-hnsw,32,8218.3,3543.0,7893.0,11071.1,,conc-probe,,
10000,forced-hnsw,64,7985.6,6779.0,17802.4,36050.6,,conc-probe,,
10000,forced-seqscan,1,13.6,73156.0,74966.0,75563.8,,conc-seq,cagra,0
10000,forced-seqscan,4,48.3,83289.0,87441.0,88947.9,,conc-seq,cagra,0
10000,forced-seqscan,8,75.7,85422.0,143731.5,146021.0,,conc-seq,cagra,0
10000,forced-seqscan,16,81.7,187829.0,285038.6,293185.4,,conc-seq,cagra,0
10000,forced-seqscan,32,81.0,426295.5,530791.4,580875.8,,conc-seq,cagra,0
