run_id,date,stage,phase,cell_id,config,system,system_version,system_commit,index_type,N,dim,k,recall_target,dataset,query_set_id,seed,clients,warm_state,build_s,qps,p50_us,p95_us,p99_us,p999_us,avg_latency_us,recall_at_k,peak_vram_mb,peak_rss_mb,cpu_core_s,gpu_s,energy_j,disk_bytes_written,wal_bytes,index_bytes_vram,index_bytes_host,index_bytes_disk,instance_type,price_usd_hr,usd_per_1m_queries,reps,agg_method,dispersion,gt_method,cost_model_version,runtime_routing_version,selectivity,correlation,filter_mode,stream_op,ops_done,delta_rows,params_json,notes
gha-27528056038-1,2026-06-15,A,build,N10k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,0.715,,,,,,,,64.0,1276.2734375,1.69,0.1474707927313284,45.21760700721177,,10128,,0,0,,,,1,median-of-1,,exact-fbin,v3-phys,v3,,,,,,,"{""build"":""cagra"",""storage"":""toast"",""build_kind"":""graph""}",
gha-27528056038-1,2026-06-15,A,query,N10k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,786.5,1259.6,1386.5,1467.9,1629.7,,0.9984,0.0,1260.046875,10.59,5.637686056790406,1005.3744449072996,,,,,,,,,1,median-of-1,"{""reps"":1,""p50_us"":[1259.6,1259.6],""p99_us"":[1467.9,1467.9],""qps"":[786.5,786.5]}",exact-fbin,v3-phys,v3,,,,,,,"{""knob"":50,""iso_recall_met"":true,""n_queries"":10000,""storage"":""toast""}",
gha-27528056038-1,2026-06-15,A,build,N10k_d1024_k10_r0.95,forced-flat,forced-flat,,,flat,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,0.333,,,,,,,,0.0,1257.9375,0.17,0.0,21.579436589540272,,2296,,0,0,,,,1,median-of-1,,exact-fbin,v3-phys,v3,,,,,,,"{""build"":""flat"",""storage"":""toast"",""build_kind"":""vectors_only""}",
gha-27528056038-1,2026-06-15,A,query,N10k_d1024_k10_r0.95,forced-flat,forced-flat,,,flat,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,1146.2,860.5,968.1,1021.9,1193.1,,1.0,0.0,1259.1484375,6.55,0.9586096436361552,526.1140740821079,,,,,,,,,1,median-of-1,"{""reps"":1,""p50_us"":[860.5,860.5],""p99_us"":[1021.9,1021.9],""qps"":[1146.2,1146.2]}",exact-fbin,v3-phys,v3,,,,,,,"{""knob"":null,""iso_recall_met"":true,""n_queries"":10000,""storage"":""toast""}",
gha-27528056038-1,2026-06-15,A,build,N10k_d1024_k10_r0.95,forced-seqscan,forced-seqscan,,,none,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,0.0,,,,,,,,0.0,79.37109375,0.0,0.0,2.00579262652318,,0,,0,0,,,,1,median-of-1,,exact-fbin,v3-phys,v3,,,,,,,"{""build"":""none"",""storage"":""toast"",""build_kind"":""none""}",
gha-27528056038-1,2026-06-15,A,query,N10k_d1024_k10_r0.95,forced-seqscan,forced-seqscan,,,none,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,21.4,46743.8,47498.5,47929.2,48058.2,,1.0,0.0,80.86328125,0.22,0.0,799.0527001750266,,,,,,,,,1,median-of-1,"{""reps"":1,""p50_us"":[46743.8,46743.8],""p99_us"":[47929.2,47929.2],""qps"":[21.4,21.4]}",exact-fbin,v3-phys,v3,,,,,,,"{""knob"":null,""iso_recall_met"":true,""n_queries"":300,""storage"":""toast""}",
gha-27528056038-1,2026-06-15,A,build,N10k_d1024_k10_r0.95,forced-transient-bf,forced-transient-bf,,,transient_bf,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,0.0,,,,,,,,0.0,1191.421875,0.0,0.0,2.036575676561333,,0,,0,0,,,,1,median-of-1,,exact-fbin,v3-phys,v3,,,,,,,"{""build"":""transient_bf"",""storage"":""toast"",""build_kind"":""none""}",
gha-27528056038-1,2026-06-15,A,query,N10k_d1024_k10_r0.95,forced-transient-bf,forced-transient-bf,,,transient_bf,10000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,7.7,129596.3,132567.7,134682.7,135520.5,,1.0,40.0,1226.171875,5.4,1.6870360106785662,2227.1377570009663,,,,,,,,,1,median-of-1,"{""reps"":1,""p50_us"":[129596.3,129596.3],""p99_us"":[134682.7,134682.7],""qps"":[7.7,7.7]}",exact-fbin,v3-phys,v3,,,,,,,"{""knob"":null,""iso_recall_met"":true,""n_queries"":300,""storage"":""toast""}",
gha-27528056038-1,2026-06-15,A,build,N100k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,100000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,7.802,,,,,,,,618.0,1972.32421875,16.05,1.0802699611886055,667.1478595275556,,10184,,0,0,,,,1,median-of-1,,exact-fbin,v3-phys,v3,,,,,,,"{""build"":""cagra"",""storage"":""toast"",""build_kind"":""graph""}",
gha-27528056038-1,2026-06-15,A,query,N100k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,100000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,751.9,1319.5,1451.7,1516.3,1611.8,,0.9914,0.0,1335.05078125,10.78,5.770310478207248,1052.3073652098335,,,,,,,,,1,median-of-1,"{""reps"":1,""p50_us"":[1319.5,1319.5],""p99_us"":[1516.3,1516.3],""qps"":[751.9,751.9]}",exact-fbin,v3-phys,v3,,,,,,,"{""knob"":50,""iso_recall_met"":true,""n_queries"":10000,""storage"":""toast""}",
