run_id,date,stage,phase,cell_id,config,system,system_version,system_commit,index_type,N,dim,k,recall_target,dataset,query_set_id,seed,clients,warm_state,build_s,qps,p50_us,p95_us,p99_us,p999_us,avg_latency_us,recall_at_k,peak_vram_mb,peak_rss_mb,cpu_core_s,gpu_s,energy_j,disk_bytes_written,wal_bytes,index_bytes_vram,index_bytes_host,index_bytes_disk,instance_type,price_usd_hr,usd_per_1m_queries,reps,agg_method,dispersion,gt_method,cost_model_version,runtime_routing_version,selectivity,correlation,filter_mode,stream_op,ops_done,delta_rows,params_json,notes
gha-27395478303-1,2026-06-12,D,query,N1m_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,91.6,11193.0,14875.8,16476.8,19143.3,,,0.0,101.07421875,0.2,0.0,1346.944619655634,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":120,""iso_recall_met"":true,""pgbench_txns"":2289,""clients"":1}",
gha-27395478303-1,2026-06-12,D,query,N1m_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000000,1024,10,0.95,cohere-1m,queries_10k.fbin,,8,warm,,555.1,14111.0,21760.7,24111.9,27613.5,,,0.0,101.734375,0.31,0.0,1340.861542651364,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":120,""iso_recall_met"":true,""pgbench_txns"":13874,""clients"":8}",
gha-27395478303-1,2026-06-12,D,query,N1m_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000000,1024,10,0.95,cohere-1m,queries_10k.fbin,,32,warm,,629.7,48747.0,88016.0,107343.2,134681.6,,,0.0,102.7578125,0.35,0.0,1348.0991868895474,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":120,""iso_recall_met"":true,""pgbench_txns"":15753,""clients"":32}",
gha-27395478303-1,2026-06-12,D,query,N1m_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000000,1024,10,0.95,cohere-1m,queries_10k.fbin,,64,warm,,623.1,96672.0,192429.0,238931.8,289225.6,,,0.0,103.0078125,0.35,0.0,1361.8909907610787,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":120,""iso_recall_met"":true,""pgbench_txns"":15621,""clients"":64}",
gha-27395478303-1,2026-06-12,D,query,N1m_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000000,1024,10,0.95,cohere-1m,queries_10k.fbin,,128,warm,,nan,nan,nan,nan,nan,,,0.0,103.484375,0.01,0.0,18.066646375292475,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":120,""iso_recall_met"":true,""pgbench_txns"":0,""clients"":128}",pgbench rc=1
gha-27395478303-1,2026-06-12,D,query,N1m_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,543.4,1757.0,1954.0,4560.0,7666.0,,,2.0,711.18359375,17.33,9.713046701387283,1604.2793675553094,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""pgbench_txns"":13582,""clients"":1}",
gha-27395478303-1,2026-06-12,D,query,N1m_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000000,1024,10,0.95,cohere-1m,queries_10k.fbin,,8,warm,,906.5,8459.0,13431.0,14469.5,15528.6,,,2.0,712.9765625,28.22,14.510501097598167,2040.0223712832685,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""pgbench_txns"":22651,""clients"":8}",
gha-27395478303-1,2026-06-12,D,query,N1m_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000000,1024,10,0.95,cohere-1m,queries_10k.fbin,,32,warm,,898.6,34149.0,40523.0,41476.2,72916.0,,,2.0,719.7265625,28.4,14.432718903983988,2051.5715480151907,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""pgbench_txns"":22479,""clients"":32}",
gha-27395478303-1,2026-06-12,D,query,N1m_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000000,1024,10,0.95,cohere-1m,queries_10k.fbin,,64,warm,,893.7,72735.0,75567.1,77208.7,153557.5,,,2.0,728.046875,28.47,14.276041096249097,2047.1005108601373,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""pgbench_txns"":22379,""clients"":64}",
gha-27395478303-1,2026-06-12,D,query,N1m_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000000,1024,10,0.95,cohere-1m,queries_10k.fbin,,128,warm,,nan,nan,nan,nan,nan,,,0.0,714.89453125,0.01,0.05044356818019879,25.101375373301853,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""pgbench_txns"":0,""clients"":128}",pgbench rc=1
